titulo,desarrolladores,descripcion,tarea
The Legend of Zylar,GameCo Studios,"Embárcate en una aventura épica para salvar el reino de Zylar de las fuerzas oscuras.",Pendiente
Arcane Chronicles,FantasyRealms,"Descubre los secretos mágicos del mundo de Gaia mientras luchas contra criaturas legendarias.",Terminado
Space Odyssey,StarTech Games,"Explora el espacio profundo y coloniza planetas desconocidos en esta emocionante odisea intergaláctica.",Pendiente
Steampunk Revolution,Clockwork Creations,"Únete a la revolución steampunk y lucha por la justicia en un mundo impulsado por máquinas de vapor.",Terminado
Chrono Clash,TimeWarp Studios,"Domina el arte del viaje en el tiempo y cambia el curso de la historia en este juego de estrategia.",Terminado
Abyssal Depths,DarkWater Games,"Sumérgete en las profundidades del océano y descubre criaturas marinas nunca antes vistas.",Pendiente
Shadow's Embrace,Nightfall Entertainment,"Enfréntate a tus miedos más oscuros y lucha contra las sombras que acechan en la oscuridad.",Pendiente
Cybernetic Uprising,NeonTech Interactive,"Combate contra una IA malévola en un mundo futurista donde la tecnología se ha vuelto en tu contra.",Terminado
Wild West Showdown,Frontier Games,"Conviértete en el forajido más temido del Salvaje Oeste y demuestra tus habilidades en duelos.",Terminado
Fantasy Football Manager,SportsSim Games,"Dirige tu propio equipo de fútbol de fantasía y lleva a tus jugadores a la victoria en el campo.",Terminado
Samurai Legends,Katana Studios,"Embárcate en una búsqueda para convertirte en el samurái más legendario de la historia.",Pendiente
Pixel Pioneers,RetroBit Games,"Revive la nostalgia de los juegos retro mientras exploras mundos pixelados y resuelves acertijos.",Terminado
Mythical Creatures Academy,MagicArcane,"Asiste a una academia mágica donde aprenderás a convocar y controlar criaturas mitológicas.",Pendiente
Galactic Dominion,Star Empire Games,"Construye un imperio galáctico y lidera tu flota en batallas espaciales estratégicas.",Terminado
The Forbidden Forest,Mystic Realms,"Adéntrate en el bosque prohibido y descubre los secretos que se ocultan en su interior.",Pendiente
Parallel Realms,Dimensional Games,"Viaja entre dimensiones y resuelve rompecabezas para restaurar el equilibrio entre los mundos.",Terminado
Wizard's Apprentice,MagicRealm Studios,"Aprende las artes místicas y conviértete en el aprendiz del mago más poderoso del reino.",Terminado
Vampire's Masquerade,Nightfall Entertainment,"Únete a la sociedad secreta de vampiros y lucha contra cazadores de monstruos en la noche.",Pendiente
Apocalypse Now,DarkFuture Games,"Sobrevive en un mundo postapocalíptico donde la lucha por los recursos es una batalla constante.",Terminado
Cyberspace VR,VirtualRealms,"Sumérgete en un mundo virtual de realidad aumentada y desafía la realidad misma.",Pendiente
Dragon Riders,Mythical Games,"Monta a lomos de dragones majestuosos y defiende el reino de las fuerzas oscuras.",Terminado
Medieval Conquest,Kingdom Builders,"Construye tu propio reino medieval y lidera ejércitos en épicas batallas históricas.",Pendiente
Zombie Outbreak,Survival Games,"Sobrevive al brote de zombies y busca refugio en un mundo lleno de no muertos.",Terminado
Steam and Sorcery,Aether Studios,"Mezcla la magia con la tecnología steampunk en un mundo lleno de maravillas mecánicas.",Pendiente
Island Explorers,Tropical Games,"Explora una isla tropical llena de tesoros escondidos, misterios y peligros.",Pendiente
Cyber Ninja,TechnoBlade,"Conviértete en un ninja cibernético y enfrenta a los enemigos con habilidades mejoradas por la tecnología.",Terminado
Eternal Conclave,HolyLight Games,"Forma parte de un antiguo conclave y protege los secretos sagrados de la humanidad.",Terminado
Racing Revolution,SpeedDemon Games,"Siente la adrenalina de las carreras de alta velocidad y personaliza tu coche para la victoria.",Terminado
Fairy Tale Adventures,Enchanted Worlds,"Vive tus cuentos de hadas favoritos mientras te enfrentas a los villanos y salvas el reino.",Pendiente
The Last Frontier,Frontier Studios,"Explora un mundo de frontera inexplorada y desafía los peligros que se encuentran en el camino.",Pendiente
Starship Troopers,Galactic Games,"Únete a una unidad de élite de la flota espacial y defiende la galaxia de amenazas alienígenas.",Terminado
Wizardry Academy,Spellcasters Inc.,"Aprende el arte de la magia y resuelve acertijos en esta escuela de magos.",Pendiente
Kingdoms of Legend,LoreMaster Games,"Construye tu propio reino legendario y guía a tu gente hacia una era dorada.",Terminado
The Lost Artifact,Adventure Seekers,"Encuentra artefactos misteriosos en ruinas antiguas y desentraña los secretos del pasado.",Pendiente
